,UK,US,IsVariant
0,Centred,Centered,non+AC0-variant
1,centred,centered,non+AC0-variant
2,favoured,favored,non+AC0-variant
3,colours,colors,non+AC0-variant
4,behaviour,behavior,non+AC0-variant
5,harbours,harbors,non+AC0-variant
6,Colour,Color,non+AC0-variant
7,honours,honors,non+AC0-variant
8,Behavioural,Behavioral,non+AC0-variant
9,flavour,flavor,non+AC0-variant
10,harboured,harbored,non+AC0-variant
11,neighbour,neighbor,non+AC0-variant
12,tumour,tumor,non+AC0-variant
13,colour,color,non+AC0-variant
14,coloured,colored,non+AC0-variant
15,armoured,armored,non+AC0-variant
16,unfavourable,unfavorable,non+AC0-variant
17,tumours,tumors,non+AC0-variant
18,tumourigenesis,tumorigenesis,non+AC0-variant
19,harbour,harbor,non+AC0-variant
20,favourable,favorable,non+AC0-variant
21,Honourable,Honorable,non+AC0-variant
22,neighbourhoods,neighborhoods,non+AC0-variant
23,endeavours,endeavors,non+AC0-variant
24,colourimetric,colorimetric,non+AC0-variant
25,favourably,favorably,non+AC0-variant
26,favours,favors,non+AC0-variant
27,Behaviour,Behavior,non+AC0-variant
28,behavioural,behavioral,non+AC0-variant
29,favourite,favorite,non+AC0-variant
30,favour,favor,non+AC0-variant
31,humour,humor,non+AC0-variant
32,labour,labor,non+AC0-variant
33,behaviours,behaviors,non+AC0-variant
34,favouring,favoring,non+AC0-variant
35,endeavour,endeavor,non+AC0-variant
36,neighbours,neighbors,non+AC0-variant
37,neighbouring,neighboring,non+AC0-variant
38,foetal,fetal,non+AC0-variant
39,finalise,finalize,variant
40,localisation,localization,variant
41,hypothesised,hypothesized,variant
42,mechanised,mechanized,variant
43,stabilises,stabilizes,variant
44,regularised,regularized,variant
45,polarisable,polarizable,variant
46,computerised,computerized,variant
47,recrystallisation,recrystallization,variant
48,maximises,maximizes,variant
49,randomised,randomized,variant
50,polarised,polarized,variant
51,anonymised,anonymized,variant
52,realise,realize,variant
53,minimising,minimizing,variant
55,Digitalisation,Digitalization,variant
56,conceptualisation,conceptualization,variant
57,immunise,immunize,variant
58,minimisation,minimization,variant
59,familiarise,familiarize,variant
60,characterising,characterizing,variant
61,atomising,atomizing,variant
62,oligomerisation,oligomerization,variant
63,capitalisation,capitalization,variant
64,systematise,systematize,variant
65,internalisation,internalization,variant
66,analyser,analyzer,non+AC0-variant
67,internalise,internalize,variant
68,unrecognised,unrecognized,variant
69,functionalisation,functionalization,variant
70,organisational,organizational,variant
71,summarise,summarize,variant
72,normalised,normalized,variant
73,characterisation,characterization,variant
74,medicalised,medicalized,variant
75,recognise,recognize,variant
76,synchronises,synchronizes,variant
77,utilise,utilize,variant
78,miniaturisation,miniaturization,variant
79,digitalise,digitalize,variant
80,optimise,optimize,variant
81,Deionised,Deionized,variant
82,colonisation,colonization,variant
83,localised,localized,variant
84,synthesising,synthesizing,variant
85,micronised,micronized,variant
86,optimising,optimizing,variant
88,destabilisation,destabilization,variant
89,utilisation,utilization,variant
90,scrutinise,scrutinize,variant
91,minimised,minimized,variant
92,Localisation,Localization,variant
93,generalised,generalized,variant
94,realisable,realizable,variant
95,Analysed,Analyzed,variant
96,generalisability,generalizability,variant
97,digitisation,digitization,variant
98,functionalised,functionalized,variant
99,customised,customized,variant
100,incentivisation,incentivization,variant
101,utilising,utilizing,variant
102,mobilisable,mobilizable,variant
103,randomisation,randomization,variant
104,discretised,discretized,variant
105,atomisation,atomization,variant
106,synchronising,synchronizing,variant
107,localise,localize,variant
108,synthesised,synthesized,variant
109,minimises,minimizes,variant
110,analyse,analyze,non+AC0-variant
111,realisation,realization,variant
112,summarises,summarizes,variant
113,devolatilised,devolatilized,variant
114,thrombolysed,thrombolyzed,variant
115,summarised,summarized,variant
116,thermalisation,thermalization,variant
117,prioritise,prioritize,variant
118,organisation,organization,variant
119,Optimisation,Optimization,variant
120,reutilisation,reutilization,variant
121,devolatilisation,devolatilization,variant
122,realising,realizing,variant
123,emphasised,emphasized,variant
124,categorises,categorizes,variant
125,synchronised,synchronized,variant
126,organised,organized,variant
127,characterised,characterized,variant
128,organisations,organizations,variant
129,hypothesise,hypothesize,variant
130,synchronise,synchronize,variant
131,industrialised,industrialized,variant
132,stabilise,stabilize,variant
133,synthetises,synthetizes,variant
134,recognising,recognizing,variant
135,personalised,personalized,variant
136,pseudonymisation,pseudonymization,variant
137,stabilised,stabilized,variant
138,synthetised,synthetized,variant
139,privatised,privatized,variant
140,prioritised,prioritized,variant
141,characterises,characterizes,variant
142,standardised,standardized,variant
143,realisations,realizations,variant
144,analysed,analyzed,non+AC0-variant
145,categorisation,categorization,variant
146,scrutinised,scrutinized,variant
147,normalisation,normalization,variant
148,reanalysed,reanalyzed,variant
149,synthesise,synthesize,variant
150,modularised,modularized,variant
151,criticised,criticized,variant
152,specialised,specialized,variant
153,polariser,polarizer,variant
154,sterilisation,sterilization,variant
155,recognised,recognized,variant
156,scrutinising,scrutinizing,variant
157,generalisations,generalizations,variant
158,winsorised,winsorized,variant
159,minimise,minimize,variant
160,resensitise,resensitize,variant
161,necrotising,necrotizing,variant
162,realised,realized,variant
163,polemicised,polemicized,variant
164,authorisation,authorization,variant
165,utilises,utilizes,variant
166,linearisation,linearization,variant
167,homogenised,homogenized,variant
168,utilised,utilized,variant
169,depolymerisation,depolymerization,variant
170,generalise,generalize,variant
171,discretisations,discretizations,variant
172,discretisation,discretization,variant
173,Scrutinising,Scrutinizing,variant
174,particularised,particularized,variant
176,maximise,maximize,variant
177,energise,energize,variant
178,emphasises,emphasizes,variant
179,categorised,categorized,variant
180,parameterise,parameterize,variant
181,vectorised,vectorized,variant
182,characterise,characterize,variant
183,digitalisation,digitalization,variant
184,formalise,formalize,variant
185,isomerisation,isomerization,variant
186,polymerisation,polymerization,variant
187,immobilised,immobilized,variant
188,parameterised,parameterized,variant
189,regularisation,regularization,variant
190,visualise,visualize,variant
191,synchronisation,synchronization,variant
192,parametrisation,parametrization,variant
193,subsidised,subsidized,variant
194,analysing,analyzing,non+AC0-variant
195,optimisation,optimization,variant
196,renormalised,renormalized,variant
197,individualised,individualized,variant
198,virtualisation,virtualization,variant
199,categorise,categorize,variant
200,maximised,maximized,variant
