,DEL,INS,count,frac,JOURNAL_CLASS,type
0,about,of,7,0.10294117647058823,UNK,PREP
1,about,on,15,0.22058823529411764,UNK,PREP
2,about,regarding,46,0.6764705882352942,UNK,PREP
3,after,at,10,1.0,UNK,PREP
4,among,between,14,0.015167930660888408,UNK,PREP
5,among,in,909,0.9848320693391116,UNK,PREP
6,as,at,8,0.13333333333333333,UNK,PREP
7,as,in,10,0.16666666666666666,UNK,PREP
8,as,since,21,0.35,UNK,PREP
9,as,with,21,0.35,UNK,PREP
10,at,as,6,0.047619047619047616,UNK,PREP
11,at,for,54,0.42857142857142855,UNK,PREP
12,at,in,28,0.2222222222222222,UNK,PREP
13,at,of,17,0.1349206349206349,UNK,PREP
14,at,on,14,0.1111111111111111,UNK,PREP
15,at,with,7,0.05555555555555555,UNK,PREP
16,between,across,8,0.01616161616161616,UNK,PREP
17,between,among,249,0.503030303030303,UNK,PREP
18,between,for,9,0.01818181818181818,UNK,PREP
19,between,from,114,0.23030303030303031,UNK,PREP
20,between,in,87,0.17575757575757575,UNK,PREP
21,between,of,22,0.044444444444444446,UNK,PREP
22,between,with,6,0.012121212121212121,UNK,PREP
23,by,as,6,0.04838709677419355,UNK,PREP
24,by,from,6,0.04838709677419355,UNK,PREP
25,by,in,42,0.3387096774193548,UNK,PREP
26,by,of,12,0.0967741935483871,UNK,PREP
27,by,on,7,0.056451612903225805,UNK,PREP
28,by,through,7,0.056451612903225805,UNK,PREP
29,by,via,11,0.08870967741935484,UNK,PREP
30,by,with,33,0.2661290322580645,UNK,PREP
31,during,for,7,0.1794871794871795,UNK,PREP
32,during,from,16,0.41025641025641024,UNK,PREP
33,during,in,7,0.1794871794871795,UNK,PREP
34,during,over,9,0.23076923076923078,UNK,PREP
35,following,after,1366,1.0,UNK,PREP
36,for,from,8,0.022857142857142857,UNK,PREP
37,for,in,167,0.47714285714285715,UNK,PREP
38,for,of,117,0.3342857142857143,UNK,PREP
39,for,on,10,0.02857142857142857,UNK,PREP
40,for,regarding,6,0.017142857142857144,UNK,PREP
41,for,to,31,0.08857142857142856,UNK,PREP
42,for,with,11,0.03142857142857143,UNK,PREP
43,from,after,15,0.07042253521126761,UNK,PREP
44,from,at,10,0.046948356807511735,UNK,PREP
45,from,between,66,0.30985915492957744,UNK,PREP
46,from,by,10,0.046948356807511735,UNK,PREP
47,from,for,19,0.0892018779342723,UNK,PREP
48,from,in,34,0.1596244131455399,UNK,PREP
49,from,of,50,0.2347417840375587,UNK,PREP
50,from,on,9,0.04225352112676056,UNK,PREP
51,in,after,6,0.010830324909747292,UNK,PREP
52,in,among,30,0.05415162454873646,UNK,PREP
53,in,as,7,0.01263537906137184,UNK,PREP
54,in,at,57,0.10288808664259928,UNK,PREP
55,in,between,21,0.03790613718411552,UNK,PREP
56,in,by,25,0.04512635379061372,UNK,PREP
57,in,during,19,0.03429602888086643,UNK,PREP
58,in,for,101,0.18231046931407943,UNK,PREP
59,in,from,13,0.023465703971119134,UNK,PREP
60,in,into,37,0.06678700361010831,UNK,PREP
61,in,of,83,0.14981949458483754,UNK,PREP
62,in,on,62,0.11191335740072202,UNK,PREP
63,in,over,14,0.02527075812274368,UNK,PREP
64,in,to,18,0.032490974729241874,UNK,PREP
65,in,with,53,0.09566787003610108,UNK,PREP
66,in,within,8,0.01444043321299639,UNK,PREP
67,into,as,8,0.17391304347826086,UNK,PREP
68,into,in,38,0.8260869565217391,UNK,PREP
69,like,as,7,1.0,UNK,PREP
70,of,about,11,0.019748653500897665,UNK,PREP
71,of,among,26,0.0466786355475763,UNK,PREP
72,of,at,16,0.02872531418312388,UNK,PREP
73,of,between,17,0.03052064631956912,UNK,PREP
74,of,by,16,0.02872531418312388,UNK,PREP
75,of,for,152,0.27289048473967686,UNK,PREP
76,of,from,58,0.10412926391382406,UNK,PREP
77,of,in,177,0.3177737881508079,UNK,PREP
78,of,on,20,0.03590664272890485,UNK,PREP
79,of,regarding,8,0.01436265709156194,UNK,PREP
80,of,to,25,0.04488330341113106,UNK,PREP
81,of,with,31,0.05565529622980251,UNK,PREP
82,on,at,6,0.02040816326530612,UNK,PREP
83,on,concerning,9,0.030612244897959183,UNK,PREP
84,on,for,33,0.11224489795918367,UNK,PREP
85,on,in,161,0.5476190476190477,UNK,PREP
86,on,of,59,0.20068027210884354,UNK,PREP
87,on,regarding,9,0.030612244897959183,UNK,PREP
88,on,to,9,0.030612244897959183,UNK,PREP
89,on,with,8,0.027210884353741496,UNK,PREP
90,out,of,7,1.0,UNK,PREP
91,over,during,22,1.0,UNK,PREP
92,regarding,about,49,0.6533333333333333,UNK,PREP
93,regarding,of,7,0.09333333333333334,UNK,PREP
94,regarding,on,19,0.25333333333333335,UNK,PREP
95,since,after,11,0.19298245614035087,UNK,PREP
96,since,as,46,0.8070175438596491,UNK,PREP
97,than,as,12,0.34285714285714286,UNK,PREP
98,than,from,16,0.45714285714285713,UNK,PREP
99,than,in,7,0.2,UNK,PREP
100,through,by,10,0.0847457627118644,UNK,PREP
101,through,to,108,0.9152542372881356,UNK,PREP
102,till,until,22,1.0,UNK,PREP
103,to,as,6,0.0009084027252081756,UNK,PREP
104,to,by,8,0.0012112036336109008,UNK,PREP
105,to,for,47,0.007115821347464042,UNK,PREP
106,to,from,12,0.0018168054504163512,UNK,PREP
107,to,in,47,0.007115821347464042,UNK,PREP
108,to,into,12,0.0018168054504163512,UNK,PREP
109,to,of,33,0.004996214988644966,UNK,PREP
110,to,on,17,0.0025738077214231643,UNK,PREP
111,to,through,13,0.001968205904617714,UNK,PREP
112,to,with,6410,0.9704769114307343,UNK,PREP
113,towards,toward,2208,1.0,UNK,PREP
114,until,to,17,1.0,UNK,PREP
115,upon,after,7,0.022292993630573247,UNK,PREP
116,upon,on,307,0.9777070063694268,UNK,PREP
117,versus,with,8,1.0,UNK,PREP
118,via,through,92,1.0,UNK,PREP
119,with,as,11,0.01896551724137931,UNK,PREP
120,with,at,15,0.02586206896551724,UNK,PREP
121,with,between,12,0.020689655172413793,UNK,PREP
122,with,by,30,0.05172413793103448,UNK,PREP
123,with,for,15,0.02586206896551724,UNK,PREP
124,with,from,8,0.013793103448275862,UNK,PREP
125,with,in,33,0.056896551724137934,UNK,PREP
126,with,of,24,0.041379310344827586,UNK,PREP
127,with,to,432,0.7448275862068966,UNK,PREP
128,within,in,24,1.0,UNK,PREP
129,about,on,7,1.0,YBBMT,PREP
130,about,regarding,38,1.0,YMIC,PREP
131,after,at,8,1.0,YBBMT,PREP
132,among,between,7,0.15217391304347827,YBBMT,PREP
133,among,in,847,1.0,AJC,PREP
134,among,in,39,0.8478260869565217,YBBMT,PREP
135,among,in,16,1.0,YJCAF,PREP
136,as,in,7,0.3684210526315789,YBBMT,PREP
137,as,since,9,1.0,YJFAS,PREP
138,as,since,11,1.0,YMSG,PREP
139,as,with,12,0.631578947368421,YBBMT,PREP
140,at,for,6,1.0,AJC,PREP
141,at,for,29,1.0,URL,PREP
142,at,for,9,1.0,URO,PREP
143,at,in,14,0.4827586206896552,YBBMT,PREP
144,at,of,9,0.3103448275862069,YBBMT,PREP
145,at,on,6,0.20689655172413793,YBBMT,PREP
146,between,across,8,0.08333333333333333,YBBMT,PREP
147,between,among,17,1.0,ACAP,PREP
148,between,among,28,0.24561403508771928,AJC,PREP
149,between,among,20,1.0,AJM,PREP
150,between,among,8,1.0,JSURG,PREP
151,between,among,14,1.0,JSXM,PREP
152,between,among,9,1.0,MDO,PREP
153,between,among,12,1.0,PNU,PREP
154,between,among,7,1.0,SXMR,PREP
155,between,among,36,0.375,YBBMT,PREP
156,between,among,21,0.5,YJCAF,PREP
157,between,among,6,0.16216216216216217,YJFAS,PREP
158,between,among,22,1.0,YMIC,PREP
159,between,among,11,1.0,YMVJ,PREP
160,between,from,52,0.45614035087719296,AJC,PREP
161,between,from,6,0.0625,YBBMT,PREP
162,between,from,13,0.30952380952380953,YJCAF,PREP
163,between,from,25,0.6756756756756757,YJFAS,PREP
164,between,in,34,0.2982456140350877,AJC,PREP
165,between,in,36,0.375,YBBMT,PREP
166,between,in,8,0.19047619047619047,YJCAF,PREP
167,between,of,10,0.10416666666666667,YBBMT,PREP
168,between,of,6,0.16216216216216217,YJFAS,PREP
169,by,in,18,0.3673469387755102,YBBMT,PREP
170,by,of,6,0.12244897959183673,YBBMT,PREP
171,by,on,6,0.12244897959183673,YBBMT,PREP
172,by,via,7,0.14285714285714285,YBBMT,PREP
173,by,with,12,0.24489795918367346,YBBMT,PREP
174,by,with,19,1.0,YJFAS,PREP
175,during,from,6,1.0,URO,PREP
176,during,from,6,1.0,YMIC,PREP
177,during,over,6,1.0,YBBMT,PREP
178,following,after,10,1.0,ACAP,PREP
179,following,after,174,1.0,AJC,PREP
180,following,after,21,1.0,AJM,PREP
181,following,after,31,1.0,JSHS,PREP
182,following,after,328,1.0,YBBMT,PREP
183,following,after,35,1.0,YJCAF,PREP
184,following,after,259,1.0,YJFAS,PREP
185,following,after,228,1.0,YJPAI,PREP
186,following,after,111,1.0,YMIC,PREP
187,following,after,162,1.0,YSNEP,PREP
188,for,in,6,1.0,ACAP,PREP
189,for,in,134,0.7204301075268817,YBBMT,PREP
190,for,in,9,0.21428571428571427,YMIC,PREP
191,for,of,8,1.0,AJM,PREP
192,for,of,6,1.0,JSHS,PREP
193,for,of,38,0.20430107526881722,YBBMT,PREP
194,for,of,6,1.0,YJCAF,PREP
195,for,of,10,1.0,YJPAI,PREP
196,for,of,26,0.6190476190476191,YMIC,PREP
197,for,to,7,0.03763440860215054,YBBMT,PREP
198,for,to,7,0.16666666666666666,YMIC,PREP
199,for,with,7,0.03763440860215054,YBBMT,PREP
200,from,after,10,0.08,YBBMT,PREP
201,from,at,7,0.056,YBBMT,PREP
202,from,between,61,0.488,YBBMT,PREP
203,from,for,8,0.064,YBBMT,PREP
204,from,in,6,1.0,YJCAF,PREP
205,from,in,10,1.0,YMIC,PREP
206,from,of,30,0.24,YBBMT,PREP
207,from,on,9,0.072,YBBMT,PREP
208,in,after,6,0.032432432432432434,YBBMT,PREP
209,in,among,9,0.10714285714285714,YMIC,PREP
210,in,at,29,0.15675675675675677,YBBMT,PREP
211,in,at,11,0.13095238095238096,YMIC,PREP
212,in,between,15,0.08108108108108109,YBBMT,PREP
213,in,by,7,0.03783783783783784,YBBMT,PREP
214,in,during,8,0.043243243243243246,YBBMT,PREP
215,in,for,6,1.0,ACAP,PREP
216,in,for,11,1.0,JSXM,PREP
217,in,for,8,1.0,SXMR,PREP
218,in,for,34,0.1837837837837838,YBBMT,PREP
219,in,for,8,1.0,YJCAF,PREP
220,in,for,6,0.17647058823529413,YJFAS,PREP
221,in,for,21,0.25,YMIC,PREP
222,in,into,11,0.05945945945945946,YBBMT,PREP
223,in,into,8,0.09523809523809523,YMIC,PREP
224,in,of,25,0.13513513513513514,YBBMT,PREP
225,in,of,13,0.38235294117647056,YJFAS,PREP
226,in,of,14,0.16666666666666666,YMIC,PREP
227,in,of,6,1.0,YMVJ,PREP
