,DEL,INS,count,frac,type
0,a,an,730.0,0.7708553326293559,ART
1,a,the,217.0,0.22914466737064415,ART
2,an,a,292.0,0.9299363057324841,ART
3,an,the,22.0,0.07006369426751592,ART
4,the,a,231.0,0.791095890410959,ART
5,the,an,61.0,0.2089041095890411,ART
18,during,from,16.0,1.0,PREP
19,following,after,1366.0,1.0,PREP
42,into,in,38.0,1.0,PREP
57,over,during,22.0,1.0,PREP
64,through,to,108.0,1.0,PREP
65,till,until,22.0,1.0,PREP
74,towards,toward,2208.0,1.0,PREP
75,until,to,17.0,1.0,PREP
76,upon,on,307.0,1.0,PREP
77,via,through,92.0,1.0,PREP
86,within,in,24.0,1.0,PREP
0,are,is,904.0,0.8233151183970856,SVA
1,are,were,194.0,0.1766848816029144,SVA
2,do,does,28.0,1.0,SVA
3,does,do,51.0,1.0,SVA
4,has,have,445.0,1.0,SVA
5,have,has,444.0,1.0,SVA
6,is,are,1416.0,0.8271028037383178,SVA
7,is,was,285.0,0.16647196261682243,SVA
8,is,were,11.0,0.006425233644859813,SVA
9,was,is,107.0,0.04354904354904355,SVA
10,was,were,2350.0,0.9564509564509565,SVA
11,were,are,101.0,0.06110102843315184,SVA
12,were,was,1552.0,0.9388989715668482,SVA
